epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.707,1.76928,2.58194,1.14247,0.50491,0.4303,0.40159,0.22359,1.52907,2.13801,1.07936,0.000173872,0.000173872,0.000173872
2,446.343,1.6654,2.18193,1.08602,0.55955,0.38417,0.40317,0.23073,1.46419,1.98057,1.04809,0.00033192,0.00033192,0.00033192
3,698.191,1.58736,2.04245,1.06079,0.55294,0.31837,0.31314,0.18276,1.44657,2.01078,1.05981,0.00047261,0.00047261,0.00047261
4,962.58,1.56179,1.95553,1.0533,0.42073,0.31312,0.27453,0.16479,1.42731,1.8415,1.03289,0.000447889,0.000447889,0.000447889
5,1269.19,1.52165,1.85254,1.04534,0.59692,0.24418,0.24568,0.14241,1.41691,1.81103,1.03511,0.000421852,0.000421852,0.000421852
6,1634.59,1.47939,1.79381,1.03169,0.48928,0.18123,0.18001,0.10642,1.37201,1.73699,1.04771,0.000395815,0.000395815,0.000395815
7,2029.78,1.43577,1.73314,1.03447,0.50579,0.14753,0.14777,0.08908,1.38515,1.66658,1.03826,0.000369778,0.000369778,0.000369778
8,2447.66,1.45339,1.70632,1.02499,0.55245,0.17835,0.17227,0.11064,1.32873,1.61837,1.01554,0.000343741,0.000343741,0.000343741
9,2898.77,1.42629,1.63716,1.01924,0.52936,0.1544,0.1476,0.09296,1.30757,1.58773,1.00804,0.000317704,0.000317704,0.000317704
10,3367.34,1.40429,1.59629,1.01431,0.58216,0.16847,0.16723,0.10771,1.29943,1.51359,1.00495,0.000291667,0.000291667,0.000291667
11,3979.91,1.371,1.65897,1.0182,0.51833,0.15539,0.15452,0.09969,1.31407,1.57289,1.01454,0.00026563,0.00026563,0.00026563
12,4436,1.3376,1.55675,1.00839,0.573,0.16496,0.15857,0.10011,1.29531,1.54577,1.00958,0.000239593,0.000239593,0.000239593
13,4866.28,1.30851,1.51181,1.00049,0.66268,0.17601,0.18064,0.11896,1.29994,1.50841,1.00077,0.000213556,0.000213556,0.000213556
