epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,304.79,1.38926,2.13567,1.10744,0.60812,0.50568,0.51942,0.32204,1.29705,1.96649,1.08212,0.000174603,0.000174603,0.000174603
2,700.974,1.37296,2.0546,1.08387,0.59486,0.51002,0.53508,0.32593,1.29492,1.90098,1.07752,0.000332614,0.000332614,0.000332614
3,1218.96,1.33638,1.93272,1.07303,0.61273,0.35397,0.38427,0.23512,1.28584,1.86966,1.08074,0.000473268,0.000473268,0.000473268
4,1863.03,1.34392,1.96919,1.09597,0.5415,0.27574,0.26562,0.16103,1.26732,1.80989,1.06548,0.000447889,0.000447889,0.000447889
5,2665.33,1.33054,1.86139,1.08314,0.5172,0.18841,0.16748,0.09879,1.34399,1.79433,1.08579,0.000421852,0.000421852,0.000421852
6,3582.15,1.31229,1.82501,1.08289,0.4026,0.15953,0.1484,0.08838,1.2902,1.72887,1.07314,0.000395815,0.000395815,0.000395815
7,4658.66,1.2976,1.78036,1.08127,0.45219,0.15101,0.14165,0.08536,1.281,1.71327,1.07141,0.000369778,0.000369778,0.000369778
8,6113.11,1.28814,1.70445,1.06307,0.531,0.19513,0.17672,0.10564,1.27455,1.67742,1.06128,0.000343741,0.000343741,0.000343741
9,8032.15,1.25317,1.6681,1.0472,0.49346,0.17998,0.16583,0.10219,1.23104,1.59388,1.0595,0.000317704,0.000317704,0.000317704
10,10492.6,1.25726,1.58288,1.04763,0.46181,0.20695,0.1831,0.11281,1.24585,1.58444,1.05959,0.000291667,0.000291667,0.000291667
11,15677,1.29236,1.70855,1.08524,0.4715,0.20295,0.18368,0.11255,1.21208,1.62473,1.05316,0.00026563,0.00026563,0.00026563
12,24458.7,1.24627,1.58813,1.05527,0.59458,0.20948,0.19913,0.12521,1.22857,1.61539,1.05345,0.000239593,0.000239593,0.000239593
13,37363.9,1.22021,1.55096,1.05199,0.47125,0.17455,0.16468,0.10228,1.22266,1.54001,1.0563,0.000213556,0.000213556,0.000213556
