epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,378.598,1.77569,2.61611,1.14733,0.5034,0.18495,0.16064,0.0947,1.52938,2.62106,1.05406,0.000172411,0.000172411,0.000172411
2,703.407,1.63881,2.15914,1.06805,0.55352,0.32484,0.33127,0.19005,1.5004,1.98367,1.07132,0.000330531,0.000330531,0.000330531
3,1070.01,1.52711,1.93788,1.03257,0.44553,0.10698,0.10206,0.05846,1.4758,1.88289,1.05503,0.000471293,0.000471293,0.000471293
4,7022.77,1.54237,1.90073,1.04541,0.51752,0.20533,0.19308,0.10666,1.44729,1.8593,1.03922,0.000447889,0.000447889,0.000447889
5,7403.04,1.50466,1.79961,1.03322,0.44045,0.0867,0.07646,0.04564,1.45016,1.81956,1.03189,0.000421852,0.000421852,0.000421852
6,7740.95,1.44489,1.72331,1.02338,0.52316,0.20104,0.18901,0.11173,1.35998,1.70004,1.00976,0.000395815,0.000395815,0.000395815
7,8004.19,1.41642,1.7014,1.01622,0.59774,0.21022,0.20943,0.12316,1.37481,1.65537,1.00846,0.000369778,0.000369778,0.000369778
8,8272.92,1.44141,1.65846,1.01184,0.42209,0.18727,0.17818,0.10598,1.3447,1.63535,1.02941,0.000343741,0.000343741,0.000343741
9,8551.35,1.36506,1.55252,1.00124,0.48163,0.16701,0.15311,0.09181,1.31136,1.56502,1.0077,0.000317704,0.000317704,0.000317704
10,8984.01,1.37799,1.54393,0.99342,0.48793,0.11672,0.10708,0.0675,1.30317,1.522,0.99018,0.000291667,0.000291667,0.000291667
11,9800.06,1.3448,1.63351,1.00885,0.46932,0.06262,0.05843,0.03677,1.31683,1.62036,1.00315,0.00026563,0.00026563,0.00026563
12,10490.7,1.30108,1.51701,0.99479,0.48896,0.14152,0.13056,0.0842,1.29993,1.52822,1.00051,0.000239593,0.000239593,0.000239593
13,11087.4,1.28478,1.47694,0.98412,0.51886,0.07351,0.06979,0.04316,1.30635,1.46353,0.99228,0.000213556,0.000213556,0.000213556
14,11828.8,1.2957,1.46925,0.99442,0.47225,0.06267,0.0598,0.03722,1.30653,1.45519,0.99815,0.000187519,0.000187519,0.000187519
15,12472.5,1.25954,1.40379,0.97936,0.43103,0.07204,0.06654,0.04105,1.28238,1.44182,0.98716,0.000161482,0.000161482,0.000161482
16,13021.6,1.27732,1.40143,0.98091,0.48654,0.08083,0.07804,0.04986,1.26752,1.41756,0.98234,0.000135445,0.000135445,0.000135445
